attribute,wrong_val,correct_val
3034.scheduled_service,n*****o,no
1962.gps_code,05AK,1IS3
3047.local_code,05CO,2CO3
1269.scheduled_service,n*****o,no
3053.local_code,05CO,2CO9
2963.iso_country,*****US,US
2089.scheduled_service,*****no,no
595.longitude_deg,-74.93360138,-162.899994
1212.gps_code,05AK,10IL
224.municipality,Newport,Utirik Island
2629.gps_code,14NY,24CN
2858.local_code,05CO,28CO
2851.iso_country,***U**S,US
2261.scheduled_service,***n**o,no
2043.scheduled_service,***n**o,no
2165.scheduled_service,*n****o,no
1368.scheduled_service,***n**o,no
484.iso_country,***U**S,US
304.longitude_deg,-101.473911,82078
2338.scheduled_service,****n*o,no
506.gps_code,K03N,08LA
1605.scheduled_service,n*****o,no
2230.scheduled_service,*****no,no
3016.scheduled_service,**n***o,no
2494.local_code,05CO,22CO
1751.scheduled_service,n*****o,no
2967.iso_country,**U***S,US
1261.scheduled_service,*****no,no
2621.iso_country,U*****S,US
2682.iso_country,****U*S,US
313.latitude_deg,40.07080078,61.66830063
2953.scheduled_service,**n***o,no
2968.iso_country,*U****S,US
1741.scheduled_service,**n***o,no
3025.local_code,05CO,2CD7
2580.gps_code,K03N,23LS
431.iso_country,*U****S,US
3048.local_code,05CO,2CO4
3023.local_code,05CO,2CD5
2962.iso_country,**U***S,US
2067.scheduled_service,***n**o,no
2493.scheduled_service,****n*o,no
1554.gps_code,08GA,PPIT
237.latitude_deg,40.07080078,41.066861
1628.scheduled_service,****n*o,no
2143.scheduled_service,***n**o,no
2767.scheduled_service,n*****o,no
975.scheduled_service,**n***o,no
2316.scheduled_service,**n***o,no
2905.iso_country,*****US,US
2561.local_code,05CO,23CO
1323.gps_code,K03N,12GE
2502.scheduled_service,***n**o,no
3046.local_code,05CO,2CO2
320.longitude_deg,-101.473911,-104.9844228
2972.iso_country,U*****S,US
1476.local_code,00NK,14NY
2964.iso_country,**U***S,US
1228.scheduled_service,*n****o,no
2553.iso_country,**U***S,US
1522.scheduled_service,***n**o,no
1758.gps_code,16K,19P
2149.scheduled_service,n*****o,no
2904.iso_country,*U****S,US
224.iso_region,US-KS,MH-UTI
1799.scheduled_service,*n****o,no
313.longitude_deg,-101.473911,-149.1880035
2669.scheduled_service,***n**o,no
2687.local_code,05CO,25CD
962.scheduled_service,****n*o,no
2966.iso_country,****U*S,US
3026.local_code,05CO,2CD8
237.name,Aero B Ranch Airport,M.P. Metals Heliport
3022.local_code,05CO,2CD4
2574.scheduled_service,**n***o,no
2444.scheduled_service,**n***o,no
2630.local_code,05CO,24CO
2903.scheduled_service,*n****o,no
2970.iso_country,*****US,US
2965.iso_country,****U*S,US
2764.scheduled_service,****n*o,no
175.iso_region,US-KS,PR-U-A
224.latitude_deg,38.704022,11222
2959.iso_country,****U*S,US
1830.scheduled_service,***n**o,no
3052.local_code,05CO,2CO8
3055.iso_country,***U**S,US
789.scheduled_service,****n*o,no
2969.iso_country,*U****S,US
313.iso_country,****U*S,US
807.scheduled_service,*n****o,no
409.scheduled_service,****n*o,no
2681.iso_country,*****US,US
2912.local_code,05CO,29CO
851.scheduled_service,**n***o,no
2794.iso_country,*U****S,US
2408.scheduled_service,****n*o,no
224.name,Aero B Ranch Airport,Utirik Airport
542.iso_country,U*****S,US
2627.local_code,05CO,24CD
224.longitude_deg,-101.473911,169.852005
2653.scheduled_service,**n***o,no
3027.local_code,05CO,2CD9
2747.local_code,05CO,
309.scheduled_service,n*****o,no
541.iso_country,****U*S,US
1535.scheduled_service,n*****o,no
3021.local_code,05CO,2CD3
1821.scheduled_service,*****no,no
2971.iso_country,*****US,US
2008.gps_code,K03N,1LA8
2491.local_code,05CO,22CD
540.scheduled_service,*n****o,no
3051.local_code,05CO,2CO7
2354.scheduled_service,****n*o,no
1708.scheduled_service,*n****o,no
2402.scheduled_service,**n***o,no
2637.scheduled_service,****n*o,no
2345.scheduled_service,***n**o,no
2541.scheduled_service,n*****o,no
1328.scheduled_service,*****no,no
2690.local_code,05CO,25CO
1908.scheduled_service,**n***o,no
320.name,Aero B Ranch Airport,Rancho De Aereo Airport
3041.type,*h*eli**po*rt,heliport
2438.local_code,05CO,
304.latitude_deg,40.07080078,36898
3020.local_code,05CO,2CD2
2802.local_code,05CO,27CO
2558.local_code,05CO,23CD
2499.gps_code,05AK,22GA
2486.iso_country,*****US,US
2432.iso_country,*****US,US
1414.scheduled_service,****n*o,no
2783.scheduled_service,**n***o,no
2138.scheduled_service,***n**o,no
237.longitude_deg,-101.473911,-76.180806
804.scheduled_service,n*****o,no
2127.scheduled_service,***n**o,no
2790.scheduled_service,*n****o,no
1950.scheduled_service,***n**o,no
1705.scheduled_service,**n***o,no
1145.scheduled_service,*n****o,no
3045.local_code,05CO,2CO1
304.name,Aero B Ranch Airport,Russell County Medical Center Heliport
1772.scheduled_service,*n****o,no
3017.scheduled_service,****n*o,no
3049.local_code,05CO,2CO5
1679.scheduled_service,*n****o,no
2036.gps_code,K03N,1MD1
892.scheduled_service,****n*o,no
2329.scheduled_service,**n***o,no
1110.gps_code,00WA,no
2646.gps_code,K03N,24LS
2396.iso_country,*****US,US
2003.gps_code,K03N,1LA3
520.scheduled_service,****n*o,no
372.iso_country,**U***S,US
2382.scheduled_service,n*****o,no
2423.scheduled_service,n*****o,no
2530.scheduled_service,n*****o,no
1765.gps_code,05AK,19TN
1977.scheduled_service,**n***o,no
623.scheduled_service,*****no,no
2827.scheduled_service,***n**o,no
1724.scheduled_service,*****no,no
313.name,Aero B Ranch Airport,Wasilla Creek Airpark
3050.scheduled_service,**n***o,no
2993.scheduled_service,****n*o,no
1911.scheduled_service,***n**o,no
3024.local_code,05CO,2CD6
1749.scheduled_service,**n***o,no
1952.scheduled_service,****n*o,no
